global_cluster2_ccf1_oni,global_cluster3_ccf1_oni,global_cluster3_ccf1_pdo,global_cluster3_ccf1_npo,global_cluster4_ccf1_nao,global_cluster4_ccf1_npgo
-0.183045208015293,0.0854984079595206,0.0636582038640395,-0.0363088105091224,0.00418863172180117,-0.0224513392421939
0.0732810133360236,0.0613913522903313,-0.0330728339211493,0.0228487503962689,-0.113559994438517,-0.0124298311269747
0.151335881331671,0.147461918383681,-0.0072518581624279,0.0756000309682597,0.0860927168815003,0.13462452946484
-0.223639896707791,-0.0932828572581277,0.0766915745697501,0.114734649423918,-0.0158442520732848,0.238982728494803
-0.421077962342677,-0.0205866372678474,0.176691576568954,-0.183632789321634,0.0931035430764442,0.430365459781791
0.291796999101049,0.470000847575387,0.400147749824835,-0.450441490684606,-0.482244178569599,0.380478895828516
0.601350010325724,0.328338996621862,0.272246935137327,0.01025733314796,-0.10724131321684,0.0262262973516523
-0.224036384625284,-0.120059163344979,0.105756683764448,-0.112987612444857,-0.218182972226406,0.0504150472625954
-0.154843488243765,-0.187751311198117,0.0488012328953992,-0.0517015719062992,-0.250339765201332,0.0570218831562305
0.0852106231042906,-0.0365295832839366,-0.0211956263004394,0.0150542764992303,0.166309455398648,-0.017903208138842
-0.0494271209775501,-0.10447125018634,-0.104496233486895,-0.0725571656071669,-0.107138543871636,-0.0969551349660148
